,description,positive,neutral,negative,overall
0,"• Analysis: As Trump gives in to his baser instincts, cities look for policing changes
• St. Paul mayor reflects on generations of pain among African Americans",0.0,0.904,0.096,-0.5106
1,"New York City will move some of its funding from the New York Police Department to youth and social services, Mayor Bill De Blasio said on Sunday.",0.0,1.0,0.0,0.0
2,Several top Trump administration officials claimed Sunday that systemic racism is not an issue in US law enforcement agencies -- even as thousands of Americans continue to take to the streets to protest against racism and police violence following the police killing of a black man in Minneapolis.,0.043,0.662,0.296,-0.9732
3,"• Trump's CDC director has a controversial past
• Mayor says NYC is within parameters to proceed with reopening
• US vaccine program is fueling fears, two experts say
• This country decided against a lockdown. See how it's going.",0.0,0.897,0.103,-0.5574
4,"• Analysis: Trump's chaos has turned on him
• Trump meets with campaign team as poll numbers fall
• Analysis: Trump's historically strong with his base -- that's a problem
• Colin Powell says he will vote for Biden for president",0.064,0.812,0.124,-0.4767
5,"The editor of The New York Times' editorial page, James Bennet, has resigned, publisher A.G. Sulzberger announced Sunday. Bennet's resignation comes after the publication of a controversial op-ed from Republican Sen. Tom Cotton earlier in the week drew significant criticism, including from dozens of the newspaper's staffers.",0.029,0.794,0.178,-0.8126
6,"A police officer in Fairfax County, Virginia, faces up to three years in prison in connection with his arrest and use of a stun gun on a black man who cried out, ""I can't breathe.""",0.0,0.709,0.291,-0.9217
7,Mukhtar Ibrahim didn't imagine the communities he covers would be at the epicenter of protests sweeping the nation when he founded a startup news website in Minnesota last year.,0.049,0.899,0.052,-0.0258
8,"After a weekend of massive peaceful protests around the country, White House officials are currently deliberating a plan for President Donald Trump to address the nation this week on issues related to race and national unity, as Housing and Urban Development Secretary Ben Carson hinted in an interview with CNN on Sunday and a senior administration official said was under serious consideration.",0.043,0.914,0.043,0.25
9,"• Watch and read: Colin Powell's State of the Union interview
• Powell slams GOP lawmakers for having 'nothing to say' about Trump's protest response
• 'Situation has gotten worse': Powell explains why Trump shouldn't be reelected",0.0,0.89,0.11,-0.5859
10,"Former Republican Secretary of State Colin Powell on Sunday called out Republican lawmakers for having ""nothing to say"" about President Donald Trump's militarized response to widespread unrest following the death of George Floyd at the hands of police.",0.0,0.93,0.07,-0.5994
11,"A professor at the University of North Carolina Wilmington has come under fire for tweets he posted which the school has called ""vile and inexcusable,"" according to a statement the school provided to CNN Saturday.",0.0,0.791,0.209,-0.891
12,"Abraham Lincoln knew the value of a good photo. In February 1860, the former congressman from Illinois posed for Matthew Brady in the pioneering photographer's New York studio. The resulting image concealed some cosmetic flaws, giving Lincoln a determined look. It was widely distributed and credited with helping him win the nomination and the presidency.",0.271,0.729,0.0,0.9485
13,Mixed martial arts fighter Conor McGregor announced his retirement from the sport on social media Sunday.,0.234,0.766,0.0,0.6705
